<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: a2dp.Vol.AppChooser dummyMainMethod_a2dp_Vol_AppChooser(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: a2dp.Vol.Preferences dummyMainMethod_a2dp_Vol_Preferences(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: a2dp.Vol.NotificationCatcher dummyMainMethod_a2dp_Vol_NotificationCatcher(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: a2dp.Vol.main dummyMainMethod_a2dp_Vol_main(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: a2dp.Vol.ManageData dummyMainMethod_a2dp_Vol_ManageData(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: a2dp.Vol.PackagesChooser dummyMainMethod_a2dp_Vol_PackagesChooser(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: a2dp.Vol.StoreLoc dummyMainMethod_a2dp_Vol_StoreLoc(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: a2dp.Vol.Widget dummyMainMethod_a2dp_Vol_Widget(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: a2dp.Vol.service dummyMainMethod_a2dp_Vol_service(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: a2dp.Vol.CustomIntentMaker dummyMainMethod_a2dp_Vol_CustomIntentMaker(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: a2dp.Vol.MyApplication dummyMainMethod_a2dp_Vol_MyApplication(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: a2dp.Vol.ProviderList dummyMainMethod_a2dp_Vol_ProviderList(android.content.Intent)>
<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: a2dp.Vol.EditDevice dummyMainMethod_a2dp_Vol_EditDevice(android.content.Intent)>
